"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-03-18",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-03-19",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-03-20",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-03-21",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-03-22",,,,,"0.46","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-03-23",,,,,"0.11","0.0","0.0",,,,,,,,,,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-03-24",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-03-25",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-03-26",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-03-27",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-03-28",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-03-29",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-03-30",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-03-31",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-04-01",,,,,"0.37","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-04-02",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-04-03",,,,,"0.08","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-04-04",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-04-05",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-04-06",,,,,"0.33","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-04-07",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-04-08",,,,,"0.33","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-04-09",,,,,"0.01","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-04-10",,,,,"0.05","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-04-11",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-04-12",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-04-13",,,,,"1.31","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-04-14",,,,,"0.06","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-04-15",,,,,"0.67","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-04-16",,,,,"0.17","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-04-17",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-04-18",,,,,"0.01","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-04-19",,,,,"0.01","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-04-20",,,,,"0.41","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-04-21",,,,,"0.90","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-04-22",,,,,"0.05","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-04-23",,,,,"0.49","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-04-24",,,,,"0.08","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-04-25",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-04-26",,,,,"0.11","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-04-27",,,,,"2.12","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-04-28",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-04-29",,,,,"0.05","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-04-30",,,,,"0.21","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-01",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-02",,,,,"0.03","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-03",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-04",,,,,"0.29","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-05",,,,,"0.27","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-06",,,,,"0.94","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-07",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-08",,,,,"0.05","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-09",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-10",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-11",,,,,"0.02","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-12",,,,,"0.23","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-13",,,,,"0.86","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-14",,,,,"0.36","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-15",,,,,"0.03","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-16",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-17",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-18",,,,,"0.03","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-19",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-20",,,,,"0.15","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-21",,,,,"0.07","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-22",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-23",,,,,"0.03","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-24",,,,,"0.01","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-25",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-26",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-27",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-28",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-29",,,,,"0.23","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-30",,,,,"0.69","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-05-31",,,,,"0.42","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-06-01",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-06-02",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-06-03",,,,,"0.03","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-06-04",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-06-05",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-06-06",,,,,"0.06","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-06-07",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-06-08",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-06-09",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-06-10",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-06-11",,,,,"1.05","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-06-12",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-06-13",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-06-14",,,,,"0.33","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-06-15",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-06-16",,,,,"0.05","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-06-17",,,,,"0.04","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-06-18",,,,,"0.14","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-06-19",,,,,"1.93","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-06-20",,,,,"0.06","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-06-21",,,,,"0.06","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-06-22",,,,,"0.06","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-06-23",,,,,"0.01","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-06-24",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-06-25",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-06-26",,,,,"0.86","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-06-27",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-06-28",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-06-29",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-06-30",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-01",,,,,"0.06","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-02",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-03",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-04",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-05",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-06",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-07",,,,,"0.08","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-08",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-09",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-10",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-11",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-12",,,,,"0.51","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-13",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-14",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-15",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-16",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-17",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-18",,,,,"1.03","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-19",,,,,"0.33","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-20",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-21",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-22",,,,,"0.01","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-23",,,,,"1.16","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-24",,,,,"0.17","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-25",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-26",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-27",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-28",,,,,"0.01","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-29",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-30",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-07-31",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-01",,,,,"0.73","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-02",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-03",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-04",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-05",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-06",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-07",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-08",,,,,"0.68","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-09",,,,,"0.02","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-10",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-11",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-12",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-13",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-14",,,,,"0.13","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-15",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-16",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-17",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-18",,,,,"0.32","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-19",,,,,"0.01","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-20",,,,,"0.10","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-21",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-22",,,,,"0.17","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-23",,,,,"0.20","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-24",,,,,"0.10","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-25",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-26",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-27",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-28",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-29",,,,,"0.55","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-30",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1CTNH0043","WALLINGFORD CENTER 3.3 NNW, CT US","2019-08-31",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
